epoch,acc,dice_coef,learning_rate,loss,val_acc,val_dice_coef,val_loss
0,0.7940402030944824,0.002496320754289627,0.10000000149011612,0.9974989891052246,0.9988270998001099,0.0018590956460684538,0.9981409907341003
1,0.7234039306640625,0.0031172512099146843,0.10000000149011612,0.9968761205673218,0.8696767687797546,0.003315841546282172,0.9966841340065002
2,0.7167041301727295,0.003366148564964533,0.10000000149011612,0.9966268539428711,0.7138084769248962,0.0037438194267451763,0.9962561726570129
3,0.7194890975952148,0.0035280142910778522,0.10000000149011612,0.9964646697044373,0.7048588395118713,0.003883213037624955,0.9961167573928833
4,0.7252054810523987,0.003656435990706086,0.10000000149011612,0.9963359832763672,0.7142115235328674,0.004009017255157232,0.9959908723831177
5,0.7329080104827881,0.003771624295040965,0.10000000149011612,0.9962207674980164,0.7282955050468445,0.004129656590521336,0.9958703517913818
6,0.7426155209541321,0.0038911220617592335,0.10000000149011612,0.996100902557373,0.752760648727417,0.004293123260140419,0.9957068562507629
7,0.7596842646598816,0.00405132258310914,0.10000000149011612,0.9959405064582825,0.8067587614059448,0.004599285311996937,0.9954006671905518
8,0.7882086634635925,0.0042957523837685585,0.10000000149011612,0.9956958293914795,0.7958343029022217,0.004741383716464043,0.9952586889266968
9,0.8106057047843933,0.00455866102129221,0.10000000149011612,0.99543297290802,0.8047506809234619,0.0049692862667143345,0.9950308203697205
10,0.831773579120636,0.004847940988838673,0.10000000149011612,0.9951428771018982,0.8255615830421448,0.005295544862747192,0.9947044253349304
11,0.8545893430709839,0.005177074111998081,0.10000000149011612,0.9948129057884216,0.8527013659477234,0.005767190363258123,0.9942328333854675
12,0.8796433806419373,0.005605076439678669,0.10000000149011612,0.9943844676017761,0.8889533877372742,0.006541418842971325,0.9934585690498352
13,0.9118395447731018,0.006302790250629187,0.10000000149011612,0.9936845898628235,0.9227248430252075,0.00803960207849741,0.9919604659080505
14,0.9469092488288879,0.00778966024518013,0.10000000149011612,0.992193341255188,0.9553369283676147,0.010925279930233955,0.9890746474266052
15,0.9773550033569336,0.011680271476507187,0.10000000149011612,0.9882920384407043,0.9922371506690979,0.01937536895275116,0.9806246161460876
16,0.9920665621757507,0.02335323765873909,0.10000000149011612,0.9765835404396057,0.992522120475769,0.024581242352724075,0.975418746471405
17,0.9960463047027588,0.03873571380972862,0.10000000149011612,0.9611507058143616,0.9984288215637207,0.07016396522521973,0.929836094379425
18,0.9970111846923828,0.06919846683740616,0.10000000149011612,0.93059903383255,0.9989743828773499,0.020606474950909615,0.979393482208252
19,0.9977972507476807,0.10420002788305283,0.10000000149011612,0.8954946994781494,0.9989202618598938,0.09009760618209839,0.9099023938179016
20,0.9976106882095337,0.18125933408737183,0.10000000149011612,0.818210244178772,0.9986623525619507,0.2201005220413208,0.779899537563324
21,0.9984015822410583,0.24289140105247498,0.10000000149011612,0.7563977241516113,0.9987990856170654,0.3034965991973877,0.6965034008026123
22,0.9987022280693054,0.301051527261734,0.10000000149011612,0.6980673670768738,0.9989092350006104,0.2625673711299896,0.7374326586723328
23,0.9987683296203613,0.3314628601074219,0.10000000149011612,0.6675671935081482,0.9989582300186157,0.09742940217256546,0.9025706052780151
